,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,36.53,29.45,30.21,34.54,46.06,36.3,46.26
Expenses,34.9,26.47,28.12,33.25,43.33,33.84,44.05
Operating Profit,1.63,2.98,2.09,1.29,2.73,2.46,2.21
OPM %,4.46,10.12,6.92,3.73,5.93,6.78,4.78
Other Income,0.09,0.17,0.02,0.21,0.08,0.22,0.08
Interest,1.08,1.11,1.02,1.01,1.04,1.01,1.03
Depreciation,0.17,0.17,0.17,0.22,0.26,0.27,0.29
Profit before tax,0.47,1.87,0.92,0.27,1.51,1.4,0.97
Tax %,29.79,27.27,26.09,59.26,27.81,29.29,25.77
Net Profit,0.33,1.36,0.68,0.11,1.09,0.99,0.73
EPS in Rs,0.63,1.29,0.47,0.08,0.76,0.69,0.51
