,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.0,1.0,2.0,6.0,7.5,7.5
Reserves,6.46,8.26,9.99,7.51,11.85,12.97
Borrowings,6.27,7.93,5.07,2.98,0.8200000000000001,0.5700000000000001
Other Liabilities,4.57,5.16,4.46,3.34,3.86,5.96
Total Liabilities,18.3,22.35,21.52,19.83,24.03,27.0
Fixed Assets,4.8,5.18,4.67,4.61,4.72,4.47
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.9,0.56,1.0,1.0
Other Assets,13.5,17.17,15.95,14.66,18.31,21.53
Total Assets,18.3,22.35,21.52,19.83,24.03,27.0
