,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.04,37.88,51.42,68.54
Expenses,1.12,34.9,45.04,60.42
Operating Profit,-0.08,2.98,6.38,8.12
OPM %,-7.69,7.87,12.41,11.85
Other Income,0.01,1.19,0.39,0.73
Interest,0.0,0.0,0.05,0.14
Depreciation,0.0,0.22,0.29,0.53
Profit before tax,-0.07,3.95,6.43,8.18
Tax %,0.0,5.06,10.26,
Net Profit,-0.07,3.76,5.76,6.26
EPS in Rs,-0.13,2.17,3.17,3.40
