,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.51,6.65,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47
Reserves,-0.6900000000000001,-0.65,-0.39,-0.37,-0.2,0.03,0.48,0.47,0.37,0.36,0.32
Borrowings,0.0,0.0,0.0,0.0,0.74,0.65,1.0,0.98,0.4,0.34,0.27
Other Liabilities,0.63,1.73,1.06,0.5700000000000001,5.68,0.23,0.43,0.51,0.39,0.17,0.36
Total Liabilities,4.45,7.73,7.14,6.67,12.69,7.38,8.38,8.43,7.63,7.34,7.42
Fixed Assets,0.0,0.0,0.0,0.01,0.71,0.49,0.33,0.24,0.01,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.47,0.47,0.47,0.47,0.47,0.47,0.0,0.0,0.0,0.0,0.0
Other Assets,3.98,7.26,6.67,6.19,11.51,6.42,8.05,8.19,7.62,7.33,7.41
Total Assets,4.45,7.73,7.14,6.67,12.69,7.38,8.38,8.43,7.63,7.34,7.42
