,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,5.77,10.81,8.67,11.72,13.94,18.27,16.03
Expenses,5.63,9.74,8.21,10.37,12.26,15.63,13.4
Operating Profit,0.14,1.07,0.46,1.35,1.68,2.64,2.63
OPM %,2.43,9.9,5.31,11.52,12.05,14.45,16.41
Other Income,0.11,0.07,0.08,0.28,0.18,0.33,0.25
Interest,0.01,0.01,0.01,0.0,0.01,0.01,0.01
Depreciation,0.06,0.08,0.06,0.08,0.09,0.1,0.09
Profit before tax,0.18,1.05,0.47,1.55,1.76,2.86,2.78
Tax %,27.78,27.62,25.53,18.06,23.3,23.78,24.82
Net Profit,0.13,0.77,0.34,1.27,1.35,2.17,2.08
EPS in Rs,0.57,3.4,1.1,4.11,4.37,7.02,6.73
